Hybridization REF	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2689-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2691-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-2692-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3400-01A-01T-0822-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AF-3913-01A-02T-1120-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13	TCGA-AG-3574-01A-01T-0822-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-mir-1238	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-124-1	1	0.76508	N	1	0.520981	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-124-2	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-124-3	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1243	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1244	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1245	0	0	N	0	0	N	1	0.791098	N	4	4.008928	N	7	2.018885	N	1	0.81652	N
hsa-mir-1246	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1247	771	589.876616	N	852	443.876227	N	1285	1016.560844	N	87	87.194181	N	1795	517.699706	N	588	480.11366	N
hsa-mir-1248	5	3.8254	N	3	1.562944	N	9	7.119881	N	5	5.01116	N	2	0.576824	N	4	3.266079	N
hsa-mir-1249	0	0	N	2	1.041963	N	2	1.582196	N	3	3.006696	N	4	1.153648	N	0	0	N
hsa-mir-1250	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1251	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	1	0.81652	N
hsa-mir-1252	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1253	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1254	1	0.76508	N	0	0	N	4	3.164392	N	1	1.002232	N	0	0	N	0	0	N
hsa-mir-1255a	3	2.29524	N	1	0.520981	N	0	0	N	1	1.002232	N	1	0.288412	N	0	0	N
hsa-mir-1255b-1	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1255b-2	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1256	0	0	N	0	0	N	0	0	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-1257	0	0	N	2	1.041963	N	0	0	N	0	0	N	1	0.288412	N	0	0	N
hsa-mir-1258	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1259	57	43.609555	N	367	191.200206	N	254	200.938875	N	68	68.151774	N	305	87.965688	N	282	230.258592	N
hsa-mir-125a	452	345.816122	N	498	259.448781	N	481	380.518106	N	608	609.357038	N	815	235.055855	N	355	289.864539	N
hsa-mir-125b-1	63	48.200035	N	495	257.885836	N	247	195.401189	N	305	305.680751	N	947	273.126252	N	296	241.689869	N
hsa-mir-125b-2	3	2.29524	N	13	6.772759	N	7	5.537686	N	3	3.006696	N	22	6.345066	N	10	8.165198	N
hsa-mir-126	5633	4309.695169	N	3500	1823.435206	N	2945	2329.783413	N	3910	3918.727005	N	11700	3374.421481	N	3688	3011.32513	N
hsa-mir-1260	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1261	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1262	1	0.76508	N	11	5.730796	N	0	0	N	3	3.006696	N	5	1.44206	N	0	0	N
hsa-mir-1263	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1264	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1265	0	0	N	1	0.520981	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1266	22	16.831758	N	4	2.083926	N	13	10.284273	N	7	7.015624	N	58	16.727901	N	7	5.715639	N
hsa-mir-1267	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1268	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1269	681	521.019423	N	2	1.041963	N	0	0	N	0	0	N	0	0	N	297	242.506389	N
hsa-mir-127	1230	941.048297	N	1604	835.654306	N	1900	1503.086073	N	2068	2072.615715	N	3917	1129.710166	N	720	587.894277	N
hsa-mir-1270	0	0	N	2	1.041963	N	1	0.791098	N	1	1.002232	N	1	0.288412	N	0	0	N
hsa-mir-1271	5	3.8254	N	9	4.688833	N	8	6.328783	N	11	11.024552	N	14	4.037769	N	3	2.449559	N
hsa-mir-1272	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1273	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1274a	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1274b	4	3.06032	N	72	37.510667	N	68	53.794659	N	28	28.062495	N	3	0.865236	N	63	51.440749	N
hsa-mir-1275	7	5.355559	N	119	61.996797	N	22	17.404155	N	4	4.008928	N	4	1.153648	N	55	44.908591	N
hsa-mir-1276	1	0.76508	N	0	0	N	0	0	N	0	0	N	0	0	N	1	0.81652	N
hsa-mir-1277	1	0.76508	N	4	2.083926	N	2	1.582196	N	1	1.002232	N	8	2.307297	N	1	0.81652	N
hsa-mir-1278	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-1279	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N	0	0	N
hsa-mir-128-1	99	75.742912	N	76	39.594593	N	99	78.318695	N	41	41.091511	N	136	39.224045	N	80	65.321586	N
